customer_id,loyalty_score,product_id,product_category,purchase_count
C1,7,P02,house,2
C1,7,P03,house,1
C1,7,P05,house,3
C1,7,P06,house,1
C1,7,P07,house,2
C1,7,P08,house,1
C1,7,P09,house,2
C1,7,P10,house,2
C1,7,P11,house,3
C1,7,P22,fruit_veg,4
C1,7,P24,fruit_veg,2
C1,7,P26,fruit_veg,2
C1,7,P27,fruit_veg,1
C1,7,P28,fruit_veg,1
C1,7,P29,fruit_veg,2
C1,7,P31,fruit_veg,1
C1,7,P32,fruit_veg,1
C1,7,P35,sweets,4
C1,7,P36,sweets,4
C1,7,P37,sweets,2
C1,7,P38,sweets,4
C1,7,P39,sweets,1
C1,7,P40,sweets,3
C1,7,P41,food,1
C1,7,P46,food,2
C1,7,P49,food,2
C1,7,P52,food,1
C1,7,P53,food,1
C1,7,P57,food,1
C10,5,P03,house,1
C10,5,P05,house,1
C10,5,P06,house,1
C10,5,P08,house,1
C10,5,P11,house,2
C10,5,P41,food,1
C10,5,P42,food,1
C10,5,P43,food,2
C10,5,P47,food,1
C10,5,P52,food,1
C10,5,P54,food,2
C10,5,P55,food,1
C100,8,P23,fruit_veg,1
C100,8,P24,fruit_veg,1
C100,8,P25,fruit_veg,1
C100,8,P26,fruit_veg,2
C100,8,P27,fruit_veg,3
C100,8,P29,fruit_veg,1
C100,8,P30,fruit_veg,2
C100,8,P32,fruit_veg,3
C100,8,P33,fruit_veg,1
C100,8,P34,fruit_veg,1
C100,8,P36,sweets,1
C100,8,P37,sweets,3
C100,8,P39,sweets,5
C100,8,P40,sweets,2
C100,8,P41,food,1
C100,8,P42,food,1
C100,8,P45,food,1
C100,8,P48,food,1
C100,8,P49,food,2
C100,8,P51,food,2
C100,8,P52,food,1
C100,8,P54,food,1
C100,8,P55,food,1
C100,8,P61,bws,2
C100,8,P62,bws,1
C100,8,P63,bws,3
C100,8,P64,bws,3
C101,2,P22,fruit_veg,4
C101,2,P24,fruit_veg,1
C101,2,P25,fruit_veg,2
C101,2,P26,fruit_veg,3
C101,2,P27,fruit_veg,7
C101,2,P29,fruit_veg,1
C101,2,P31,fruit_veg,1
C101,2,P32,fruit_veg,1
C101,2,P33,fruit_veg,1
C101,2,P34,fruit_veg,1
C102,1,P23,fruit_veg,2
C102,1,P24,fruit_veg,4
C102,1,P25,fruit_veg,5
C102,1,P27,fruit_veg,3
C102,1,P28,fruit_veg,1
C102,1,P30,fruit_veg,2
C102,1,P31,fruit_veg,1
C102,1,P32,fruit_veg,1
C102,1,P33,fruit_veg,1
C102,1,P34,fruit_veg,1
C102,1,P35,sweets,3
C102,1,P36,sweets,1
C102,1,P38,sweets,1
C102,1,P39,sweets,2
C102,1,P45,food,2
C102,1,P48,food,1
C102,1,P49,food,1
C102,1,P52,food,1
C102,1,P54,food,1
C102,1,P55,food,1
C102,1,P58,food,1
C102,1,P60,food,1
C103,7,P41,food,1
C103,7,P42,food,3
C103,7,P43,food,1
C103,7,P44,food,2
C103,7,P45,food,1
C103,7,P48,food,5
C103,7,P49,food,1
C103,7,P50,food,3
C103,7,P51,food,3
C103,7,P52,food,1
C103,7,P53,food,2
C103,7,P54,food,1
C103,7,P55,food,3
C103,7,P57,food,3
C103,7,P58,food,4
C103,7,P59,food,2
C103,7,P60,food,1
C104,7,P22,fruit_veg,1
C104,7,P23,fruit_veg,1
C104,7,P24,fruit_veg,1
